geneA	geneB	weight
CD74	CD44	0.999
CAV2	CAV1	0.999
AIMP2	AIMP1	0.999
CCL2	CCL4L2	0.999
CCL2	CCL5	0.999
CCL2	CXCL8	0.999
APOC1	APOC3	0.999
APOE	APOC3	0.999
CDKN1B	CCNE1	0.999
CCNA1	CDKN1B	0.999
CDKN1B	CCNA2	0.999
C3	CR1	0.999
C3	CFH	0.999
APOC1	APOE	0.999
APP	APOE	0.999
CDKN1A	CCNA1	0.999
CDK1	CCNA1	0.999
CCNB1	CKS2	0.999
CCNB1	CDC20	0.999
CCNB1	CDK1	0.999
CCT6A	CCT7	0.999
CCT7	CCT5	0.999
CCT2	CCT7	0.999
ATP5PD	ATP5F1B	0.999
ATP5PO	ATP5F1B	0.999
ATP5ME	ATP5F1B	0.999
ATP5MF	ATP5F1B	0.999
ATP5PB	ATP5F1B	0.999
ATP5F1C	ATP5F1B	0.999
CDKN1A	CCNE1	0.999
CENPE	BUB1B	0.999
CENPE	CENPF	0.999
CCT6A	CCT5	0.999
CCT2	CCT6A	0.999
CCT2	CCT5	0.999
ATP5MC3	ATP5F1C	0.999
ATP5MC3	ATP5PB	0.999
AURKB	BUB1B	0.999
BUB1	BUB1B	0.999
CDC20	BUB1B	0.999
CENPF	BUB1B	0.999
BUB3	BUB1B	0.999
CDK1	BUB1B	0.999
CDK1	CCNB2	0.999
CDC20	CCNB2	0.999
ATP5PO	ATP5PD	0.999
ATP5PO	ATP5PB	0.999
ATP5PO	ATP5MF	0.999
ATP5PO	ATP5F1C	0.999
ATP5PO	ATP5ME	0.999
ATP5ME	ATP5MF	0.999
ATP5MF	ATP5PD	0.999
ATP5PB	ATP5MF	0.999
CD3G	CD3D	0.999
ATP5PB	ATP5PD	0.999
ATP5F1C	ATP5PD	0.999
ATP5ME	ATP5PD	0.999
BIRC5	AURKB	0.999
BIRC5	CDCA8	0.999
CDC20	BUB1	0.999
BUB3	BUB1	0.999
COPS6	COPS5	0.999
CCL5	CXCL10	0.999
ATP5ME	ATP5PB	0.999
ATP5ME	ATP5F1C	0.999
CYCS	CYC1	0.999
ATP6V0A4	ATP6V0B	0.999
CKS1B	CDK1	0.999
CKS1B	CCNA2	0.999
CDCA8	AURKB	0.999
COX5A	CYC1	0.999
COX5A	COX4I2	0.999
CDK1	CDC25C	0.999
AHNAK	ANXA2	0.999
ATP5PB	ATP5F1C	0.999
CCR9	CCL25	0.999
BUB3	CDC20	0.999
CDC20	CCNA2	0.999
CDK1	CDC20	0.999
CDK1	CKS2	0.999
CDK1	CCNA2	0.999
CDKN1A	CCNA2	0.999
CCL5	CCR3	0.999
ACTG1	ACTB	0.999
HSP90AB1	FKBP4	0.999
HSP90AA1	FKBP4	0.999
LCK	LCP2	0.999
LCP2	GRAP2	0.999
LCP2	FYB1	0.999
DKC1	GAR1	0.999
IGF1	IGFBP2	0.999
IGF1	IGFBP5	0.999
HSPD1	HSPE1	0.999
KISS1	KISS1R	0.999
INHBA	FST	0.999
H4C6	H2AC8	0.999
H2AC20	H4C6	0.999
H4C6	H3C12	0.999
HJURP	H4C6	0.999
H2BC21	H4C6	0.999
EMC7	EMC3	0.999
JUN	FOSB	0.999
JUNB	FOSB	0.999
JUND	FOSB	0.999
FOS	FOSB	0.999
DLGAP5	HMMR	0.999
EIF3I	EIF3K	0.999
HBA2	HBA1	0.999
HBB	HBA2	0.999
JUNB	JUND	0.999
JUN	JUND	0.999
FOS	JUND	0.999
HSPA8	DNAJB1	0.999
HSP90AA1	DNAJB1	0.999
HSP90AB1	DNAJB1	0.999
EIF2S1	EIF3I	0.999
EIF2S1	EIF2S2	0.999
EIF2S1	EIF2B3	0.999
KIF23	ECT2	0.999
FGF2	FGFR2	0.999
FGF2	FGFR3	0.999
ICAM1	ITGB2	0.999
ITGAM	ICAM1	0.999
EXOSC8	EXOSC7	0.999
IGF1	IGFBP4	0.999
H2BC21	H2AZ1	0.999
IL15	IL2RG	0.999
HSP90B1	DNAJB11	0.999
HSP90B1	HSPA5	0.999
JUN	JUNB	0.999
FOS	JUNB	0.999
JUN	FOS	0.999
RACK1	EEF2	0.999
ITGA3	FN1	0.999
HBB	HBA1	0.999
HBG2	HBG1	0.999
H2AC20	H3C12	0.999
H2AC20	H2BC21	0.999
HSP90AA1	HSPA8	0.999
H2BC21	H3C12	0.999
EIF2S2	EIF2B3	0.999
GYPB	GYPA	0.999
IL6R	IL6	0.999
FCGR1A	FCGR1B	0.999
HSP90AB1	HSPA8	0.999
KRT18	KRT8	0.999
ITGAM	ITGB2	0.999
RACK1	FAU	0.999
PSMA4	PSMD8	0.999
PSMB3	PSMA4	0.999
POMP	PSMA4	0.999
PSMA4	PSMA3	0.999
PSMA4	PSMB8	0.999
PSMA4	PSMD14	0.999
PSMA4	PSMB9	0.999
PSMA4	PSMB2	0.999
PSMA4	PSMA5	0.999
PSMA4	PSMD7	0.999
PSMA4	PSMB1	0.999
PSMA4	PSMB6	0.999
PSMA4	PSMD6	0.999
PSMA4	PSMB7	0.999
PSMA4	PSMD4	0.999
PSMA4	PSMC2	0.999
PSMA4	PSMA7	0.999
PSMA4	PSMC3	0.999
PSMA4	PSMC4	0.999
PSMA4	PSMD11	0.999
PSMC4	PSMB2	0.999
PSMC4	PSMD14	0.999
PSMB3	PSMC4	0.999
PSMC4	PSMD8	0.999
PSMD13	PSMC4	0.999
PSMC4	PSMD7	0.999
PSMC4	PSMB1	0.999
PSMC4	PSMA5	0.999
PSMC4	PSMD6	0.999
PSMC4	PSMD11	0.999
PSMC4	PSMC3	0.999
PSMC4	PSMC2	0.999
PSMD4	PSMC4	0.999
NGFR	NTRK1	0.999
PSMD14	PSMD8	0.999
PSMB2	PSMD8	0.999
PSMB3	PSMD8	0.999
PSMA3	PSMD8	0.999
PSMD7	PSMD8	0.999
PSMD13	PSMD8	0.999
PSMD6	PSMD8	0.999
PSMB6	PSMD8	0.999
PSMC3	PSMD8	0.999
PSMD11	PSMD8	0.999
PSMD4	PSMD8	0.999
PSMC2	PSMD8	0.999
PSMB3	PSMA3	0.999
POMP	PSMA3	0.999
PSMA3	PSMD14	0.999
PSMA3	PSMB9	0.999
PSMB8	PSMA3	0.999
PSMA3	PSMB2	0.999
PSMA3	PSMA5	0.999
PSMD7	PSMA3	0.999
PSMA3	PSMB1	0.999
PSMB6	PSMA3	0.999
PSMA3	PSMD6	0.999
PSMB7	PSMA3	0.999
PSMC2	PSMA3	0.999
PSMA3	PSMA7	0.999
PSMD4	PSMA3	0.999
PSMA3	PSMC3	0.999
PSMA3	PSMD11	0.999
PSME1	PSME2	0.999
PSMB7	PSMD7	0.999
PSMD7	PSMD6	0.999
PSMD4	PSMD7	0.999
PSMC2	PSMD7	0.999
PSMD7	PSMD11	0.999
PSMD7	PSMC3	0.999
PSMB3	PSMD7	0.999
PSMD7	PSMB2	0.999
PSMD7	PSMD14	0.999
PSMD7	PSMA5	0.999
PSMD13	PSMD7	0.999
PSMD7	PSMB1	0.999
NCAPG	NCAPH	0.999
NIP7	NIFK	0.999
NIP7	MRTO4	0.999
PSMB7	PSMD6	0.999
PSMB7	PSMB6	0.999
PSMB7	PSMC3	0.999
PSMB7	PSMD11	0.999
PSMB7	PSMA7	0.999
PSMB7	PSMC2	0.999
PSMD4	PSMB7	0.999
PSMB7	PSMB9	0.999
PSMB7	PSMD14	0.999
PSMB7	PSMB8	0.999
PSMB7	PSMB2	0.999
PSMB3	PSMB7	0.999
POMP	PSMB7	0.999
PSMB7	PSMB1	0.999
PSMD13	PSMB7	0.999
PSMB7	PSMA5	0.999
NDC80	NUF2	0.999
PSMD14	PSMD11	0.999
PSMB2	PSMD11	0.999
PSMD11	PSMA5	0.999
PSMB1	PSMD11	0.999
PSMD13	PSMD11	0.999
PSMD6	PSMD11	0.999
